CustomerID,VisitHours,NumTicket,NumCouponUsed,NumOrder,Spending
1001,7.05,2,1,1,139.92
1002,6.81,1,1,1,100.92
1003,9.42,1,1,1,100.28
1004,9.09,0,1,1,174.08
1005,17.61,0,2,1,169.6
1006,7.05,1,5,6,279.2
1007,9.21,0,1,1,100.88
1008,6.96,3,2,2,102.92
1009,16.68,1,1,1,106.84
1010,11.64,0,1,1,102.92
1011,9.6,1,9,15,295.44
1012,8.67,1,1,1,133.8
1013,10.74,1,2,2,114.4
1014,7.11,1,1,1,213.88
1015,8.55,3,1,4,176.2
1016,7.17,1,2,1,160.72
1017,0,1,1,1,109.28
1018,11.25,1,1,1,137.44
1019,8.1,1,1,1,140.76
1020,8.07,1,2,4,189.64
1021,8.79,1,6,7,141.72
1022,7.35,0,11,15,183.12
1023,9.21,1,1,1,96.76
1024,7.02,1,1,2,125.6
1025,11.91,0,1,1,186.52
1026,11.19,0,2,1,182
1027,6.15,0,2,1,212.96
1028,11.25,1,1,4,243.08
1029,10.5,0,2,1,163.48
1030,11.16,0,2,3,170
1031,11.58,0,1,1,123.2
1032,9.39,0,1,1,141.32
1033,7.47,1,2,1,173.48
1034,8.61,0,2,2,188.56
1035,8.31,0,1,1,102.32
1036,6.75,1,1,2,103.24
1037,9.51,0,1,2,160.24
1038,17.22,0,1,1,107.12
1039,11.94,1,1,1,174.4
1040,8.19,1,1,1,105.68
1041,11.7,0,3,4,239.28
1042,9.78,0,1,1,104.52
1043,11.67,0,2,7,174.2
1044,11.64,0,1,1,166.88
1045,17.25,0,1,1,110.4
1046,17.76,1,2,1,170.6
1047,8.07,0,2,1,163.24
1048,12.66,0,5,7,160.88
1049,17.49,0,1,6,170.72
1050,12.12,1,1,1,190.08
1051,8.58,1,2,2,182.56
1052,10.05,0,1,1,105
1053,0,0,2,1,91.04
1054,7.77,0,5,15,244.52
1055,6.96,0,1,2,102.88
1056,6.51,1,1,3,119.28
1057,8.43,0,2,1,163.12
